Column1,pred,actual,Column2,Column3,B,R,bb,rb,Column4,,
98,0,1,FALSE,0.30,0.298507463,2.45,-100.00,0.00,0.30,,
99,1,0,FALSE,0.60,1.35,0.60,0.00,-100.00,0.60,,
102,1,0,FALSE,0.65,1.25,0.65,0.00,-100.00,0.65,,
103,1,1,TRUE,0.35,2.25,0.35,0.00,34.97,0.35,,
104,1,1,TRUE,0.06,8.5,0.06,0.00,6.00,0.06,,
105,1,0,FALSE,0.67,1.2,0.67,0.00,-100.00,0.67,,
107,0,0,TRUE,0.53,0.52631579,1.50,52.63,0.00,0.53,,
108,1,1,TRUE,0.53,1.5,0.53,0.00,52.63,0.53,,
109,1,1,TRUE,0.38,2.05,0.38,0.00,37.74,0.38,,
110,1,1,TRUE,0.60,1.3,0.60,0.00,59.88,0.60,,
111,1,0,FALSE,0.30,2.5,0.30,0.00,-100.00,0.30,,
114,1,0,FALSE,0.22,3.25,0.22,0.00,-100.00,0.22,,
115,1,0,FALSE,1.65,0.5,1.65,0.00,-100.00,1.65,,
118,1,0,FALSE,0.85,0.943396226,0.847457627,0.00,-100.00,0.85,,
119,0,1,FALSE,0.60,0.598802395,1.35,-100.00,0.00,0.60,,
120,1,1,TRUE,0.56,1.4,0.56,0.00,56.50,0.56,,
122,0,0,TRUE,0.68,0.675675676,1.17,67.57,0.00,0.68,,
123,1,1,TRUE,0.38,2.05,0.38,0.00,37.74,0.38,,
125,0,1,FALSE,0.33,0.327868853,2.35,-100.00,0.00,0.33,,
126,1,1,TRUE,0.25,2.95,0.25,0.00,25.00,0.25,,
129,1,1,TRUE,0.12,5.25,0.119760479,0.00,11.98,0.12,,
130,1,1,TRUE,0.22,3.3,0.22,0.00,21.98,0.22,,
131,1,1,TRUE,0.42,1.85,0.416666667,0.00,41.67,0.42,,
132,1,1,TRUE,0.70,1.15,0.70,0.00,69.93,0.70,,
133,1,1,TRUE,0.75,1.08,0.75,0.00,74.63,0.75,,
134,1,1,TRUE,0.43,1.85,0.43,0.00,43.48,0.43,,
135,1,1,TRUE,0.67,1.2,0.67,0.00,66.67,0.67,,
136,0,0,TRUE,0.30,0.298507463,2.50,29.85,0.00,0.30,,
138,1,0,FALSE,0.30,2.45,0.30,0.00,-100.00,0.30,,
139,0,0,TRUE,0.23,0.229885058,3.15,22.99,0.00,0.23,,
140,1,1,TRUE,0.20,3.56,0.20,0.00,20.00,0.20,,
141,1,1,TRUE,0.27,2.77,0.27,0.00,26.67,0.27,,
142,0,0,TRUE,0.68,0.675675676,1.19,67.57,0.00,0.68,,
143,1,1,TRUE,0.25,2.96,0.25,0.00,25.00,0.25,,
144,1,1,TRUE,0.61,1.31,0.61,0.00,60.61,0.61,,
145,1,1,TRUE,0.32,2.55,0.317460318,0.00,31.75,0.32,,
146,1,1,TRUE,0.91,0.909090909,0.91,0.00,90.91,0.91,,
148,0,0,TRUE,0.40,0.4,1.95,40.00,0.00,0.40,,
149,1,1,TRUE,0.47,1.7,0.465116279,0.00,46.51,0.47,,
150,1,1,TRUE,0.30,2.5,0.30,0.00,29.85,0.30,,
153,0,0,TRUE,0.89,0.892857143,0.892857143,89.29,0.00,0.89,,
155,1,1,TRUE,0.57,1.38,0.57,0.00,57.14,0.57,,
156,0,1,FALSE,0.50,0.5,1.60,-100.00,0.00,0.50,,
157,1,0,FALSE,1.30,0.628930818,1.30,0.00,-100.00,1.30,,
158,1,1,TRUE,0.30,2.5,0.30,0.00,29.85,0.30,,
159,0,0,TRUE,0.67,0.666666667,1.20,66.67,0.00,0.67,,
160,1,0,FALSE,0.72,1.1,0.72,0.00,-100.00,0.72,,
162,1,1,TRUE,0.47,1.69,0.465116279,0.00,46.51,0.47,,
163,1,1,TRUE,0.36,2.15,0.36,0.00,35.97,0.36,,
164,1,0,FALSE,0.73,1.1,0.729927007,0.00,-100.00,0.73,,
166,1,1,TRUE,0.23,3.17,0.229885058,0.00,22.99,0.23,,
167,0,0,TRUE,0.71,0.709219858,1.15,70.92,0.00,0.71,,
170,0,0,TRUE,0.60,0.598802395,1.33,59.88,0.00,0.60,,
171,1,1,TRUE,0.18,4,0.18,0.00,17.86,0.18,,
172,1,0,FALSE,0.62,1.3,0.62,0.00,-100.00,0.62,,
173,1,1,TRUE,0.36,2.1,0.36,0.00,36.36,0.36,,
174,0,1,FALSE,0.38,0.377358491,2.05,-100.00,0.00,0.38,,
176,0,0,TRUE,0.41,0.408163265,1.9,40.82,0.00,0.41,,
177,0,1,FALSE,0.57,0.571428571,1.36,-100.00,0.00,0.57,,
178,1,1,TRUE,0.49,1.6,0.487804878,0.00,48.78,0.49,,
179,0,0,TRUE,0.22,0.21978022,3.21,21.98,0.00,0.22,,
180,1,1,TRUE,0.80,1.03,0.80,0.00,80.00,0.80,,
183,1,1,TRUE,0.21,3.42,0.208333333,0.00,20.83,0.21,,
185,0,1,FALSE,0.73,0.729927007,1.11,-100.00,0.00,0.73,,
186,1,0,FALSE,0.80,1.05,0.80,0.00,-100.00,0.80,,
187,1,1,TRUE,0.67,1.2,0.67,0.00,66.67,0.67,,
188,1,1,TRUE,0.30,2.46,0.30,0.00,29.85,0.30,,
189,0,1,FALSE,0.88,0.877192983,0.92,-100.00,0.00,0.88,,
190,1,1,TRUE,0.54,1.51,0.54,0.00,53.76,0.54,,
191,1,0,FALSE,0.38,2.15,0.38,0.00,-100.00,0.38,,
192,1,0,FALSE,0.42,1.88,0.416666667,0.00,-100.00,0.42,,
193,1,1,TRUE,0.53,1.5,0.53,0.00,52.63,0.53,,
195,1,1,TRUE,0.30,2.53,0.30,0.00,29.85,0.30,,
196,0,0,TRUE,0.14,0.13986014,4.70,13.99,0.00,0.14,,
197,0,0,TRUE,0.78,0.775193798,1.08,77.52,0.00,0.78,,
199,1,1,TRUE,0.33,2.33,0.33,0.00,32.79,0.33,,
201,1,1,TRUE,0.30,2.6,0.30,0.00,29.85,0.30,,
203,1,1,TRUE,0.80,1,0.80,0.00,80.00,0.80,,
204,1,1,TRUE,0.56,1.4,0.56,0.00,56.50,0.56,,
205,1,1,TRUE,0.38,2.05,0.38,0.00,37.74,0.38,,
206,1,0,FALSE,0.89,0.892857143,0.892857143,0.00,-100.00,0.89,,
207,1,0,FALSE,0.27,2.77,0.27,0.00,-100.00,0.27,,
209,1,1,TRUE,0.43,1.8,0.43,0.00,43.48,0.43,,
211,1,0,FALSE,0.73,1.1,0.729927007,0.00,-100.00,0.73,,
212,1,1,TRUE,0.42,1.87,0.416666667,0.00,41.67,0.42,,
213,1,1,TRUE,0.53,1.5,0.53,0.00,52.63,0.53,,
214,1,1,TRUE,1.05,0.8,1.05,0.00,105.00,1.05,,
215,0,1,FALSE,0.73,0.729927007,1.10,-100.00,0.00,0.73,,
216,0,1,FALSE,0.30,0.298507463,2.40,-100.00,0.00,0.30,,
218,1,1,TRUE,0.40,1.95,0.40,0.00,40.00,0.40,,
219,1,0,FALSE,0.33,2.3,0.33,0.00,-100.00,0.33,,
220,1,0,FALSE,0.26,2.86,0.26,0.00,-100.00,0.26,,
