ion: m: 0.007, f: 0.971, n: 0.023 -- 10475
atter: m: 0.020, f: 0.969, n: 0.011 -- 1490
ze: m: 0.026, f: 0.969, n: 0.005 -- 2372
he: m: 0.020, f: 0.967, n: 0.013 -- 4665
eit: m: 0.032, f: 0.967, n: 0.002 -- 10198
te: m: 0.023, f: 0.966, n: 0.011 -- 10255
ik: m: 0.026, f: 0.966, n: 0.009 -- 3987
lle: m: 0.021, f: 0.964, n: 0.014 -- 4415
nn: m: 0.963, f: 0.001, n: 0.036 -- 1148
ren: m: 0.034, f: 0.003, n: 0.963 -- 1591
che: m: 0.024, f: 0.960, n: 0.017 -- 3600
ling: m: 0.956, f: 0.005, n: 0.038 -- 2034
tor: m: 0.954, f: 0.001, n: 0.045 -- 2716
ube: m: 0.050, f: 0.950, n: 0.000 -- 1236
le: m: 0.023, f: 0.950, n: 0.028 -- 7277
ke: m: 0.047, f: 0.948, n: 0.005 -- 3824
aube: m: 0.052, f: 0.948, n: 0.000 -- 1055
nder: m: 0.946, f: 0.007, n: 0.047 -- 1213
ment: m: 0.055, f: 0.000, n: 0.945 -- 1729
rin: m: 0.013, f: 0.940, n: 0.048 -- 4467
aft: m: 0.060, f: 0.939, n: 0.001 -- 2947
re: m: 0.025, f: 0.937, n: 0.039 -- 3176
uss: m: 0.935, f: 0.062, n: 0.003 -- 1458
nge: m: 0.048, f: 0.930, n: 0.021 -- 1856
or: m: 0.926, f: 0.004, n: 0.070 -- 3683
se: m: 0.043, f: 0.924, n: 0.032 -- 9382
e: m: 0.046, f: 0.923, n: 0.031 -- 88289
hen: m: 0.079, f: 0.001, n: 0.920 -- 4818
id: m: 0.078, f: 0.005, n: 0.918 -- 2560
ger: m: 0.917, f: 0.001, n: 0.082 -- 3603
sse: m: 0.031, f: 0.913, n: 0.056 -- 1594
ich: m: 0.913, f: 0.001, n: 0.086 -- 1981
chen: m: 0.089, f: 0.000, n: 0.911 -- 4315
ase: m: 0.091, f: 0.907, n: 0.003 -- 1192
f: m: 0.899, f: 0.004, n: 0.097 -- 5493
sen: m: 0.103, f: 0.001, n: 0.897 -- 1073
eis: m: 0.895, f: 0.003, n: 0.103 -- 1395
ist: m: 0.889, f: 0.110, n: 0.002 -- 1166
ng: m: 0.096, f: 0.883, n: 0.021 -- 46714
all: m: 0.878, f: 0.014, n: 0.108 -- 1343
eich: m: 0.874, f: 0.001, n: 0.125 -- 1138
me: m: 0.107, f: 0.871, n: 0.022 -- 2505
be: m: 0.037, f: 0.866, n: 0.097 -- 4749
kel: m: 0.862, f: 0.057, n: 0.082 -- 1149
ss: m: 0.861, f: 0.043, n: 0.096 -- 3067
ur: m: 0.132, f: 0.855, n: 0.012 -- 3497
ge: m: 0.088, f: 0.852, n: 0.059 -- 7573
lter: m: 0.849, f: 0.023, n: 0.128 -- 1561
ber: m: 0.847, f: 0.030, n: 0.123 -- 1521
fer: m: 0.847, f: 0.105, n: 0.048 -- 2860
alter: m: 0.842, f: 0.001, n: 0.157 -- 1235
fe: m: 0.160, f: 0.836, n: 0.004 -- 1625
nis: m: 0.024, f: 0.140, n: 0.836 -- 1482
as: m: 0.112, f: 0.054, n: 0.834 -- 1112
b: m: 0.833, f: 0.006, n: 0.160 -- 1957
