Count of gender2,Column Labels,,,,,,,,,,,,,,
Row Labels,m,f,n,Grand Total,,Row Labels,m,f,n,,Row Labels,m,f,n,Grand Total
[philat.],37,69,13,119,,[philat.],31.09%,57.98%,10.92%,,[philat.],37,69,13,119
[esot.],21,71,18,110,,[esot.],19.09%,64.55%,16.36%,,[esot.],21,71,18,110
[unit],20,48,36,104,,[unit],19.23%,46.15%,34.62%,,[unit],20,48,36,104
[herald.],30,20,52,102,,[herald.],29.41%,19.61%,50.98%,,[herald.],30,20,52,102
[armour],42,32,7,81,,[armour],51.85%,39.51%,8.64%,,[armour],42,32,7,81
[neol.],30,22,12,64,,[neol.],46.88%,34.38%,18.75%,,[neol.],30,22,12,64
[UWH],20,21,20,61,,[UWH],32.79%,34.43%,32.79%,,[UWH],20,21,20,61
[F],32,12,6,50,,[F],64.00%,24.00%,12.00%,,[F],32,12,6,50
[comics],10,12,3,25,,[comics],40.00%,48.00%,12.00%,,[comics],10,12,3,25
[quote],5,,,5,,[quote],100.00%,0.00%,0.00%,,[quote],5,,,5
Grand Total,144074,193460,87457,424991,,,,,,,Grand Total,144074,193460,87457,424991
