,pred,Year,Month,pred_round,valid,D,H,A,valid_rai,raw_rai
358,1.0857142857142856,2024,5,1,0,4.0,1.95,3.5,4.0,-100.0
359,1.5060532687651331,2024,5,2,2,4.8,1.4,7.5,1.4,40.0
360,1.5060532687651331,2024,5,2,1,4.75,1.57,4.75,1.57,-100.0
361,1.5060532687651331,2024,5,2,2,5.75,1.36,7.0,1.36,36.0
362,1.5060532687651331,2024,5,2,2,4.2,1.8,3.8,1.8,80.0
364,1.4772727272727273,2024,5,1,0,3.8,3.4,2.0,3.8,-100.0
365,0.3931034482758621,2024,5,0,0,5.5,7.0,1.36,1.36,36.0
366,1.4772727272727273,2024,5,1,1,4.33,4.2,1.7,4.33,333.0
367,0.3931034482758621,2024,5,0,0,6.0,6.5,1.36,1.36,36.0
368,0.9375,2024,5,1,0,4.0,3.3,1.95,4.0,-100.0
369,0.9375,2024,5,1,2,4.0,2.75,2.3,4.0,-100.0
375,1.0857142857142856,2024,5,1,2,4.33,1.85,3.6,4.33,-100.0
376,1.8108108108108107,2024,5,2,2,8.0,1.17,15.0,1.17,17.0
374,1.5060532687651331,2024,5,2,2,5.0,1.45,6.0,1.45,45.0
373,0.6211180124223602,2024,5,1,0,3.5,3.0,2.3,3.5,-100.0
379,0.3931034482758621,2024,5,0,0,6.0,7.0,1.33,1.33,33.0
371,0.9375,2024,5,1,0,3.9,2.9,2.2,3.9,-100.0
370,1.8108108108108107,2024,5,2,2,8.0,1.18,12.0,1.18,18.0
378,1.8108108108108107,2024,5,2,2,12.0,1.08,21.0,1.08,8.0
372,1.0857142857142856,2024,5,1,0,4.0,2.15,2.9,4.0,-100.0
377,0.9375,2024,5,1,0,3.9,2.9,2.2,3.9,-100.0
